HDR,ROLLING SYSTEM DEMAND
VD,20200302205000,38791
VD,20200302205500,38361
VD,20200302210000,38137
VD,20200302210500,37766
VD,20200302211000,37312
VD,20200302211500,36922
VD,20200302212000,36566
VD,20200302212500,36217
VD,20200302213000,35809
VD,20200302213500,35519
VD,20200302214000,35189
VD,20200302214500,34796
VD,20200302215000,34402
VD,20200302215500,33906
VD,20200302220000,33518
VD,20200302220500,33189
VD,20200302221000,32799
VD,20200302221500,32414
VD,20200302222000,31843
VD,20200302222500,31383
VD,20200302223000,31222
VD,20200302223500,31035
VD,20200302224000,30806
VD,20200302224500,30538
VD,20200302225000,30243
VD,20200302225500,29989
VD,20200302230000,29635
VD,20200302230500,29241
VD,20200302231000,29174
VD,20200302231500,28975
VD,20200302232000,28858
VD,20200302232500,28770
VD,20200302233000,28743
VD,20200302233500,28740
VD,20200302234000,28707
VD,20200302234500,28640
VD,20200302235000,28536
VD,20200302235500,28413
VD,20200303000000,28243
VD,20200303000500,28406
VD,20200303001000,28564
VD,20200303001500,28645
VD,20200303002000,28621
VD,20200303002500,28579
VD,20200303003000,28708
VD,20200303003500,28987
VD,20200303004000,28942
VD,20200303004500,28867
VD,20200303005000,28771
VD,20200303005500,28733
VD,20200303010000,28712
VD,20200303010500,28663
VD,20200303011000,28663
VD,20200303011500,28704
VD,20200303012000,28717
VD,20200303012500,28653
VD,20200303013000,28595
VD,20200303013500,28441
VD,20200303014000,28229
VD,20200303014500,28109
VD,20200303015000,28016
VD,20200303015500,27896
VD,20200303020000,27813
VD,20200303020500,27893
VD,20200303021000,27717
VD,20200303021500,27656
VD,20200303022000,27676
VD,20200303022500,27646
VD,20200303023000,27699
VD,20200303023500,27735
VD,20200303024000,27703
VD,20200303024500,27734
VD,20200303025000,27670
VD,20200303025500,27701
VD,20200303030000,27672
VD,20200303030500,27660
VD,20200303031000,27587
VD,20200303031500,27558
VD,20200303032000,27496
VD,20200303032500,27478
VD,20200303033000,27413
VD,20200303033500,27313
VD,20200303034000,27273
VD,20200303034500,27243
VD,20200303035000,27331
VD,20200303035500,27368
VD,20200303040000,27345
VD,20200303040500,27360
VD,20200303041000,27436
VD,20200303041500,27387
VD,20200303042000,27311
VD,20200303042500,27165
VD,20200303043000,26956
VD,20200303043500,26996
VD,20200303044000,27071
VD,20200303044500,27217
VD,20200303045000,27318
VD,20200303045500,27448
VD,20200303050000,27329
VD,20200303050500,26860
VD,20200303051000,26870
VD,20200303051500,26912
VD,20200303052000,27167
VD,20200303052500,27232
VD,20200303053000,27263
VD,20200303053500,27543
VD,20200303054000,27926
VD,20200303054500,28201
VD,20200303055000,28529
VD,20200303055500,29026
VD,20200303060000,29297
VD,20200303060500,29956
VD,20200303061000,30721
VD,20200303061500,31327
VD,20200303062000,31731
VD,20200303062500,32119
VD,20200303063000,32406
VD,20200303063500,32791
VD,20200303064000,33335
VD,20200303064500,33850
VD,20200303065000,34353
VD,20200303065500,34925
VD,20200303070000,35586
VD,20200303070500,36056
VD,20200303071000,36489
VD,20200303071500,36894
VD,20200303072000,37221
VD,20200303072500,37504
VD,20200303073000,37640
VD,20200303073500,38002
VD,20200303074000,38401
VD,20200303074500,38685
VD,20200303075000,38778
VD,20200303075500,38862
VD,20200303080000,38915
VD,20200303080500,39150
VD,20200303081000,39058
VD,20200303081500,39173
VD,20200303082000,39170
VD,20200303082500,39147
VD,20200303083000,39105
VD,20200303083500,39134
VD,20200303084000,39039
VD,20200303084500,38938
VD,20200303085000,38797
VD,20200303085500,38785
VD,20200303090000,38740
VD,20200303090500,38899
VD,20200303091000,38960
VD,20200303091500,38921
VD,20200303092000,38919
VD,20200303092500,38926
VD,20200303093000,38896
VD,20200303093500,38710
